2digitNAICS,InitialApprovalAmount
33,232802.33322681216
32,209735.94479876163
55,152359.68513157894
42,139687.973691167
62,125702.65314938972
92,111854.52274111676
61,100795.68901613538
31,100181.02824837813
72,98178.3664892282
51,92075.71415785998
22,86382.10141242937
44,84858.31570350984
23,84591.11312657046
21,84216.71411042946
54,75650.24536956659
56,72960.24628819556
11,68969.93157608695
52,64971.28160022942
71,53403.44181818182
45,53239.12700060901
48,46198.818372002344
81,46047.50989411607
53,46007.821109782824
na,44763.65055374592
99,44363.95944168735
49,23915.511611374408
